city,country,country_code,year,lat,lon,mean_brightness,median_brightness,max_brightness,pixel_count,population,gdp_per_capita_eur,population_density,road_length_total_km,motorway_length_km,road_density_km_per_km2,street_lamp_count,building_count,building_area_km2,landuse_residential_km2,landuse_commercial_km2,landuse_industrial_km2,landuse_retail_km2,park_area_km2,forest_area_km2,water_area_km2,nature_reserve_area_km2,green_area_total_km2,built_up_fraction,green_fraction,log_mean_brightness,log_population,log_gdp_per_capita,log_building_count,brightness_yoy,brightness_cagr,brightness_per_capita
Amsterdam,Netherlands,NL,2013,52.3676,4.9041,12.811043619240191,2.6053978134829605,1729.307861328125,13101,94505.0,49000.0,1086.4,19749.59,1068.04,10.0746,30137,1180903.0,41.427,388.6657,16.1131,93.0237,4.7515,96.0059,180.5782,968.8208,1153.1016,1429.6857,0.0792,0.7293,2.6254685343878275,11.456408022135056,10.799575577092764,13.981790804830652,,-0.03282204012020473,0.00013555942668896028
Amsterdam,Netherlands,NL,2014,52.3676,4.9041,12.525683292539805,4.247372828158529,2154.014404296875,13101,94866.0,51400.0,1086.4,19749.59,1068.04,10.0746,30137,1180903.0,41.427,388.6657,16.1131,93.0237,4.7515,96.0059,180.5782,968.8208,1153.1016,1429.6857,0.0792,0.7293,2.6045903441617635,11.4602206485382,10.847393451443256,13.981790804830652,-0.022274557419492358,-0.03282204012020473,0.00013203553741635365
Amsterdam,Netherlands,NL,2015,52.3676,4.9041,12.013433157469168,2.52831025840913,1925.0196533203125,13101,,53600.0,1086.4,19749.59,1068.04,10.0746,30137,1180903.0,41.427,388.6657,16.1131,93.0237,4.7515,96.0059,180.5782,968.8208,1153.1016,1429.6857,0.0792,0.7293,2.565982143759438,,10.889304347058893,13.981790804830652,-0.04089598332537514,-0.03282204012020473,
Amsterdam,Netherlands,NL,2016,52.3676,4.9041,12.114736233814297,4.188029354718055,2255.6337890625,13101,184235.0,55300.0,1086.4,19749.59,1068.04,10.0746,30137,1180903.0,41.427,388.6657,16.1131,93.0237,4.7515,96.0059,180.5782,968.8208,1153.1016,1429.6857,0.0792,0.7293,2.5737365013220286,12.12396739561133,10.920528187510426,13.981790804830652,0.00843248345558445,-0.03282204012020473,6.575697469978178e-05
Amsterdam,Netherlands,NL,2017,52.3676,4.9041,11.610667776025004,2.670295021424756,1844.814208984375,13101,,57300.0,1086.4,19749.59,1068.04,10.0746,30137,1180903.0,41.427,388.6657,16.1131,93.0237,4.7515,96.0059,180.5782,968.8208,1153.1016,1429.6857,0.0792,0.7293,2.534543104643302,,10.95605590270283,13.981790804830652,-0.04160787722165604,-0.03282204012020473,
Amsterdam,Netherlands,NL,2018,52.3676,4.9041,11.73940933445914,2.5924298802042167,1999.146240234375,13101,,60100.0,1086.4,19749.59,1068.04,10.0746,30137,1180903.0,41.427,388.6657,16.1131,93.0237,4.7515,96.0059,180.5782,968.8208,1153.1016,1429.6857,0.0792,0.7293,2.5447002859969357,,11.0037651205233,13.981790804830652,0.011088213091410282,-0.03282204012020473,
Amsterdam,Netherlands,NL,2019,52.3676,4.9041,11.136729981758764,2.693865609807088,1217.859375,13101,188764.0,63400.0,1086.4,19749.59,1068.04,10.0746,30137,1180903.0,41.427,388.6657,16.1131,93.0237,4.7515,96.0059,180.5782,968.8208,1153.1016,1429.6857,0.0792,0.7293,2.4962363903492473,12.148252836546082,11.057219140425318,13.981790804830652,-0.051338132569524464,-0.03282204012020473,5.8998166926737955e-05
Amsterdam,Netherlands,NL,2020,52.3676,4.9041,11.389503715786423,2.68022791676398,1160.1597900390625,13101,190991.0,59800.0,1086.4,19749.59,1068.04,10.0746,30137,1180903.0,41.427,388.6657,16.1131,93.0237,4.7515,96.0059,180.5782,968.8208,1153.1016,1429.6857,0.0792,0.7293,2.5168496396157702,12.159981585499716,10.998760939938723,13.981790804830652,0.022697302928389673,-0.03282204012020473,5.963371947257422e-05
Amsterdam,Netherlands,NL,2021,52.3676,4.9041,10.44810881500416,5.704663919015009,577.7021484375,13101,192427.0,65100.0,1086.4,19749.59,1068.04,10.0746,30137,1180903.0,41.427,388.6657,16.1131,93.0237,4.7515,96.0059,180.5782,968.8208,1153.1016,1429.6857,0.0792,0.7293,2.437824547363078,12.167472140008371,11.08367982819666,13.981790804830652,-0.08265460236668987,-0.03282204012020473,5.429648030164249e-05
Amsterdam,Netherlands,NL,2022,52.3676,4.9041,9.00301006057671,3.4640777123561945,226.15187072753903,13101,222895.0,73000.0,1086.4,19749.59,1068.04,10.0746,30137,1180903.0,41.427,388.6657,16.1131,93.0237,4.7515,96.0059,180.5782,968.8208,1153.1016,1429.6857,0.0792,0.7293,2.302886053758482,12.314456087538698,11.198214720130528,13.981790804830652,-0.13831199310943187,-0.03282204012020473,4.03912607307329e-05
Amsterdam,Netherlands,NL,2023,52.3676,4.9041,9.225934494426737,2.837171204468265,326.4378967285156,13101,225138.0,77300.0,1086.4,19749.59,1068.04,10.0746,30137,1180903.0,41.427,388.6657,16.1131,93.0237,4.7515,96.0059,180.5782,968.8208,1153.1016,1429.6857,0.0792,0.7293,2.32492709085074,12.324468826507873,11.255449234575513,13.981790804830652,0.02476110015984445,-0.03282204012020473,4.097901950993052e-05
Amsterdam,Netherlands,NL,2024,52.3676,4.9041,8.87472313901994,2.837801135712536,404.1147766113281,13101,226692.0,81500.0,1086.4,19749.59,1068.04,10.0746,30137,1180903.0,41.427,388.6657,16.1131,93.0237,4.7515,96.0059,180.5782,968.8208,1153.1016,1429.6857,0.0792,0.7293,2.2899782738392114,12.331347546944853,11.308358299228955,13.981790804830652,-0.03806783536334002,-0.03282204012020473,3.914881486342677e-05
Athens,Greece,GR,2013,37.9838,23.7275,17.80815653019247,4.470579405838343,222.04595947265625,10152,2622404.0,30200.0,11142.8,22279.13,482.63,11.3649,3943,399598.0,64.7039,332.192,3.1696,51.7857,3.1847,15.5619,256.5884,4.5719,277.8368,549.9871,0.0627,0.2806,2.9342906337357006,14.779602012290857,10.31559720336296,12.898216823250902,,0.02040217655037968,6.790775384034066e-06
Athens,Greece,GR,2014,37.9838,23.7275,17.65967027756767,4.886696341404226,281.2422180175781,10152,,30800.0,11142.8,22279.13,482.63,11.3649,3943,399598.0,64.7039,332.192,3.1696,51.7857,3.1847,15.5619,256.5884,4.5719,277.8368,549.9871,0.0627,0.2806,2.9263645252506305,,10.335269968961667,12.898216823250902,-0.008338103518634954,0.02040217655037968,
Athens,Greece,GR,2015,37.9838,23.7275,17.694209154728547,4.917769485639736,295.0792541503906,10152,,31200.0,11142.8,22279.13,482.63,11.3649,3943,399598.0,64.7039,332.192,3.1696,51.7857,3.1847,15.5619,256.5884,4.5719,277.8368,549.9871,0.0627,0.2806,2.9282138050324846,,10.348173373797573,12.898216823250902,0.0019558053246753193,0.02040217655037968,
Athens,Greece,GR,2016,37.9838,23.7275,17.689860391702727,4.468533453643272,236.36013793945312,10152,,31800.0,11142.8,22279.13,482.63,11.3649,3943,399598.0,64.7039,332.192,3.1696,51.7857,3.1847,15.5619,256.5884,4.5719,277.8368,549.9871,0.0627,0.2806,2.9279811517607466,,10.367221568768269,12.898216823250902,-0.00024577323506191906,0.02040217655037968,
Athens,Greece,GR,2017,37.9838,23.7275,18.462524033542312,4.903614527514426,302.1065673828125,10152,,32800.0,11142.8,22279.13,482.63,11.3649,3943,399598.0,64.7039,332.192,3.1696,51.7857,3.1847,15.5619,256.5884,4.5719,277.8368,549.9871,0.0627,0.2806,2.968490772023442,,10.398183794372235,12.898216823250902,0.04367833463524651,0.02040217655037968,
Athens,Greece,GR,2018,37.9838,23.7275,18.77136151513129,4.921816126712601,276.52508544921875,10152,,33400.0,11142.8,22279.13,482.63,11.3649,3943,399598.0,64.7039,332.192,3.1696,51.7857,3.1847,15.5619,256.5884,4.5719,277.8368,549.9871,0.0627,0.2806,2.9842345025467747,,10.416311178964792,12.898216823250902,0.01672780390307893,0.02040217655037968,
Athens,Greece,GR,2019,37.9838,23.7275,19.3822842131247,4.876653409409612,274.85498046875,10152,,34300.0,11142.8,22279.13,482.63,11.3649,3943,399598.0,64.7039,332.192,3.1696,51.7857,3.1847,15.5619,256.5884,4.5719,277.8368,549.9871,0.0627,0.2806,3.014666102629009,,10.442900633154032,12.898216823250902,0.0325454654688182,0.02040217655037968,
Athens,Greece,GR,2020,37.9838,23.7275,19.787410356093083,5.493625338750233,240.13995361328125,10152,,31300.0,11142.8,22279.13,482.63,11.3649,3943,399598.0,64.7039,332.192,3.1696,51.7857,3.1847,15.5619,256.5884,4.5719,277.8368,549.9871,0.0627,0.2806,3.034347532114947,,10.351373376528244,12.898216823250902,0.02090187815397182,0.02040217655037968,
Athens,Greece,GR,2021,37.9838,23.7275,20.07668524856323,6.889814790918283,268.60943603515625,10152,,34900.0,11142.8,22279.13,482.63,11.3649,3943,399598.0,64.7039,332.192,3.1696,51.7857,3.1847,15.5619,256.5884,4.5719,277.8368,549.9871,0.0627,0.2806,3.048167465035579,,10.460242108190519,12.898216823250902,0.014619138495860273,0.02040217655037968,
Athens,Greece,GR,2022,37.9838,23.7275,20.59033637120752,6.912281753521818,364.1394958496094,10152,,38500.0,11142.8,22279.13,482.63,11.3649,3943,399598.0,64.7039,332.192,3.1696,51.7857,3.1847,15.5619,256.5884,4.5719,277.8368,549.9871,0.0627,0.2806,3.0722458243593804,,10.558413520275876,12.898216823250902,0.02558445860384495,0.02040217655037968,
Athens,Greece,GR,2023,37.9838,23.7275,21.251336257471984,6.940562670698868,364.4725646972656,10152,,42800.0,11142.8,22279.13,482.63,11.3649,3943,399598.0,64.7039,332.192,3.1696,51.7857,3.1847,15.5619,256.5884,4.5719,277.8368,549.9871,0.0627,0.2806,3.1024020633245235,,10.664293381569887,12.898216823250902,0.03210243263382395,0.02040217655037968,
Athens,Greece,GR,2024,37.9838,23.7275,22.238428988734448,6.903046973072261,366.5320129394531,10152,,,11142.8,22279.13,482.63,11.3649,3943,399598.0,64.7039,332.192,3.1696,51.7857,3.1847,15.5619,256.5884,4.5719,277.8368,549.9871,0.0627,0.2806,3.1458073302467184,,,12.898216823250902,0.04644850184022675,0.02040217655037968,
